Number,Problem,Pattern,Difficulty,Status,LeetCode Link,Notes,Last Practiced
1,Two Sum,Arrays & Hashing,Easy,Not Started,https://leetcode.com/problems/two-sum/,HashMap for O(1) lookup,
2,Contains Duplicate,Arrays & Hashing,Easy,Not Started,https://leetcode.com/problems/contains-duplicate/,Use Set,
3,Group Anagrams,Arrays & Hashing,Medium,Not Started,https://leetcode.com/problems/group-anagrams/,Sorted string as key,
4,Top K Frequent Elements,Arrays & Hashing,Medium,Not Started,https://leetcode.com/problems/top-k-frequent-elements/,Heap or bucket sort,
5,Product of Array Except Self,Arrays & Hashing,Medium,Not Started,https://leetcode.com/problems/product-of-array-except-self/,Prefix suffix products,
6,Longest Consecutive Sequence,Arrays & Hashing,Medium,Not Started,https://leetcode.com/problems/longest-consecutive-sequence/,HashSet,
7,Valid Palindrome,Two Pointers,Easy,Not Started,https://leetcode.com/problems/valid-palindrome/,,
8,3Sum,Two Pointers,Medium,Not Started,https://leetcode.com/problems/3sum/,Sort then 2 pointers,
9,Container With Most Water,Two Pointers,Medium,Not Started,https://leetcode.com/problems/container-with-most-water/,,
10,Trapping Rain Water,Two Pointers,Hard,Not Started,https://leetcode.com/problems/trapping-rain-water/,,
11,Move Zeroes,Two Pointers,Easy,Not Started,https://leetcode.com/problems/move-zeroes/,,
12,Best Time to Buy and Sell Stock,Sliding Window,Easy,Not Started,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,
13,Longest Substring Without Repeating,Sliding Window,Medium,Not Started,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,
14,Longest Repeating Character Replacement,Sliding Window,Medium,Not Started,https://leetcode.com/problems/longest-repeating-character-replacement/,,
15,Minimum Window Substring,Sliding Window,Hard,Not Started,https://leetcode.com/problems/minimum-window-substring/,,
16,Sliding Window Maximum,Sliding Window,Hard,Not Started,https://leetcode.com/problems/sliding-window-maximum/,Monotonic deque,
17,Valid Parentheses,Stack,Easy,Not Started,https://leetcode.com/problems/valid-parentheses/,,
18,Min Stack,Stack,Medium,Not Started,https://leetcode.com/problems/min-stack/,,
19,Daily Temperatures,Stack,Medium,Not Started,https://leetcode.com/problems/daily-temperatures/,Monotonic stack,
20,Largest Rectangle in Histogram,Stack,Hard,Not Started,https://leetcode.com/problems/largest-rectangle-in-histogram/,,
21,Binary Search,Binary Search,Easy,Not Started,https://leetcode.com/problems/binary-search/,,
22,Search in Rotated Sorted Array,Binary Search,Medium,Not Started,https://leetcode.com/problems/search-in-rotated-sorted-array/,,
23,Find Minimum in Rotated Array,Binary Search,Medium,Not Started,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,
24,Koko Eating Bananas,Binary Search,Medium,Not Started,https://leetcode.com/problems/koko-eating-bananas/,Search on answer,
25,Median of Two Sorted Arrays,Binary Search,Hard,Not Started,https://leetcode.com/problems/median-of-two-sorted-arrays/,,
26,Reverse Linked List,Linked List,Easy,Not Started,https://leetcode.com/problems/reverse-linked-list/,,
27,Linked List Cycle,Linked List,Easy,Not Started,https://leetcode.com/problems/linked-list-cycle/,Floyd's algorithm,
28,Merge Two Sorted Lists,Linked List,Easy,Not Started,https://leetcode.com/problems/merge-two-sorted-lists/,,
29,LRU Cache,Linked List,Medium,Not Started,https://leetcode.com/problems/lru-cache/,HashMap + DLL,
30,Maximum Depth of Binary Tree,Trees,Easy,Not Started,https://leetcode.com/problems/maximum-depth-of-binary-tree/,,
31,Invert Binary Tree,Trees,Easy,Not Started,https://leetcode.com/problems/invert-binary-tree/,,
32,Validate BST,Trees,Medium,Not Started,https://leetcode.com/problems/validate-binary-search-tree/,,
33,Binary Tree Level Order Traversal,Trees,Medium,Not Started,https://leetcode.com/problems/binary-tree-level-order-traversal/,BFS,
34,Lowest Common Ancestor,Trees,Medium,Not Started,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,,
35,Serialize Deserialize Binary Tree,Trees,Hard,Not Started,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,,
36,Number of Islands,Graphs,Medium,Not Started,https://leetcode.com/problems/number-of-islands/,DFS or BFS,
37,Clone Graph,Graphs,Medium,Not Started,https://leetcode.com/problems/clone-graph/,,
38,Course Schedule,Graphs,Medium,Not Started,https://leetcode.com/problems/course-schedule/,Topological sort,
39,Pacific Atlantic Water Flow,Graphs,Medium,Not Started,https://leetcode.com/problems/pacific-atlantic-water-flow/,,
40,Word Ladder,Graphs,Hard,Not Started,https://leetcode.com/problems/word-ladder/,BFS,
41,Climbing Stairs,Dynamic Programming,Easy,Not Started,https://leetcode.com/problems/climbing-stairs/,,
42,House Robber,Dynamic Programming,Medium,Not Started,https://leetcode.com/problems/house-robber/,,
43,Coin Change,Dynamic Programming,Medium,Not Started,https://leetcode.com/problems/coin-change/,,
44,Longest Increasing Subsequence,Dynamic Programming,Medium,Not Started,https://leetcode.com/problems/longest-increasing-subsequence/,,
45,Unique Paths,Dynamic Programming,Medium,Not Started,https://leetcode.com/problems/unique-paths/,,
46,Edit Distance,Dynamic Programming,Medium,Not Started,https://leetcode.com/problems/edit-distance/,,
47,Merge Intervals,Intervals,Medium,Not Started,https://leetcode.com/problems/merge-intervals/,Sort by start,
48,Insert Interval,Intervals,Medium,Not Started,https://leetcode.com/problems/insert-interval/,,
49,Non-overlapping Intervals,Intervals,Medium,Not Started,https://leetcode.com/problems/non-overlapping-intervals/,,
50,Meeting Rooms II,Intervals,Medium,Not Started,https://leetcode.com/problems/meeting-rooms-ii/,,

