Number,Title,Primary Theme,Secondary Theme,Amazon LP,Status,Situation,Task,Action,Result,Learning
1,,Conflict Resolution,,Earn Trust,Not Written,,,,,
2,,Difficult Hiring/Firing,,Hire and Develop the Best,Not Written,,,,,
3,,Project Failure,,Learn and Be Curious,Not Written,,,,,
4,,Cross-team Influence,,Earn Trust,Not Written,,,,,
5,,Tech Debt vs Features,,Insist on Highest Standards,Not Written,,,,,
6,,Team Building,,Hire and Develop the Best,Not Written,,,,,
7,,Managing Underperformance,,Deliver Results,Not Written,,,,,
8,,Tight Deadline,,Bias for Action,Not Written,,,,,
9,,Innovation,,Invent and Simplify,Not Written,,,,,
10,,Customer Focus,,Customer Obsession,Not Written,,,,,
11,,Disagreeing with Leadership,,Have Backbone,Not Written,,,,,
12,,Mentoring,,Hire and Develop the Best,Not Written,,,,,
13,,Process Improvement,,Insist on Highest Standards,Not Written,,,,,
14,,Crisis/Incident,,Bias for Action,Not Written,,,,,
15,,Taking Ownership,,Ownership,Not Written,,,,,
16,,Data-Driven Decision,,Are Right A Lot,Not Written,,,,,
17,,Simplifying Complexity,,Invent and Simplify,Not Written,,,,,
18,,Moving Fast,,Bias for Action,Not Written,,,,,
19,,Building Trust,,Earn Trust,Not Written,,,,,
20,,Strategic Thinking,,Think Big,Not Written,,,,,

